Longitud,Latitud,PM10,PM2.5,sitio,,Fecha
-2.09477,57.1574,7.505,5.56,Aberdeen Erroll Park,,01/12/22
-3.2429,55.79216,4.46,3.687,Auchencorth Moss,,01/12/22
-4.041924,51.074793,15.965,13.609,Barnstaple A39,,01/12/22
-5.928833,54.59965,13.173,7.967,Belfast Centre,,01/12/22
-1.874978,52.476145,32.271,19.332,Birmingham A4540 Roadside,,01/12/22
-1.918235,52.481346,17.717,15.02,Birmingham Ladywood,,01/12/22
-3.007175,53.80489,27.71,23.274,Blackpool Marton,,01/12/22
-0.270671,51.661229,17.887,15.134,Borehamwood Meadow Park,,01/12/22
-2.584482,51.462839,15.811,12.125,Bristol St Paul's,,01/12/22
-1.635718,52.82105,24.675,20.681,Burton-on-Trent Horninglow,,01/12/22
-0.175269,51.54421,30.315,19.875,Camden Kerbside,,01/12/22
1.098061,51.27399,17.502,13.784,Canterbury,,01/12/22
-3.17625,51.48178,20.21,20.475,Cardiff Centre,,01/12/22
-2.964955,54.885823,16.989,17.208,Carlisle Morton A595,,01/12/22
-2.68345,51.05625,8.741,7.782,Charlton Mackrell,,01/12/22
0.54797,51.374264,23.979,13.13,Chatham Roadside,,01/12/22
-2.678731,51.638094,12.681,11.917,Chepstow A48,,01/12/22
-1.454946,53.244131,23.905,20.769,Chesterfield Loundsley Green,,01/12/22
-1.456928,53.231751,28.468,23.206,Chesterfield Roadside,,01/12/22
-1.438228,51.149617,10.655,9.667,Chilbolton Observatory,,01/12/22
-1.560189,52.411628,18.993,15.44,Coventry Allesley,,01/12/22
-2.453492,53.115941,23.172,20.033,Crewe Coppenhall,,01/12/22
-7.331179,55.002818,11.611,8.833,Derry Rosemount,,01/12/22
-1.637111,53.693104,27.791,21.549,Dewsbury Ashworth Grove,,01/12/22
0.271611,50.805778,14.374,11.382,Eastbourne,,01/12/22
-3.182186,55.945589,13.503,9.924,Edinburgh St Leonards,,01/12/22
-4.238214,55.860936,8.519,6.362,Glasgow High Street,,01/12/22
-4.243631,55.865782,10.173,7.065,Glasgow Townhead,,01/12/22
-2.472056,53.46008,25.634,21.989,Glazebury,,01/12/22
-3.704399,56.010319,14.05,12.083,Grangemouth,,01/12/22
-4.734421,55.944079,13.825,8.939,Greenock A8 Roadside,,01/12/22
-1.203838,54.683242,25.197,21.599,Hartlepool St Abbs Walk,,01/12/22
-0.80882,54.334497,19.211,17.323,High Muffles,,01/12/22
-3.196702,50.792287,12.317,10.274,Honiton,,01/12/22
-0.341222,53.74878,31.89,26.283,Hull Freetown,,01/12/22
-0.213324,53.619241,23.864,21.044,Immingham Woodlands Avenue,,01/12/22
-4.241451,57.481308,3.383,2.173,Inverness,,01/12/22
-1.533119,52.28881,19.041,14.626,Leamington Spa,,01/12/22
-1.542911,52.294884,17.695,14.884,Leamington Spa Rugby Road,,01/12/22
-1.546472,53.80378,35.29,27.913,Leeds Centre,,01/12/22
-1.576361,53.819972,37.601,28.042,Leeds Headingley Kerbside,,01/12/22
-1.127182,52.619904,23.808,20.241,Leicester University,,01/12/22
-2.844333,53.34633,19.525,17.5,Liverpool Speke,,01/12/22
-0.125889,51.52229,26.64,19.823,London Bloomsbury,,01/12/22
-0.441614,51.48879,22.48,17.086,London Harlington,,01/12/22
-0.460861,51.49633,21.574,17.547,London Hillingdon,,01/12/22
-0.037418,51.449674,19.479,15.271,London Honor Oak Park,,01/12/22
-0.154611,51.52253,22.273,18.625,London Marylebone Road,,01/12/22
-0.213492,51.52105,22.042,16.443,London N. Kensington,,01/12/22
-0.345606,51.425286,29.936,23.499,London Teddington Bushy Park,,01/12/22
-7.900328,54.43951,5.345,3.592,Lough Navar,,01/12/22
0.18125,50.7937,13.426,10.71,Lullington Heath,,01/12/22
-2.237881,53.48152,32.226,25.413,Manchester Piccadilly,,01/12/22
-1.220874,54.569297,23.39,20.292,Middlesbrough,,01/12/22
-4.69237,51.782616,18.778,14.13,Narberth,,01/12/22
-1.610528,54.97825,24.678,18,Newcastle Centre,,01/12/22
-2.977281,51.601203,13.059,11.442,Newport,,01/12/22
1.302686,52.614823,19.834,14.698,Norwich Lakenfields,,01/12/22
-1.146447,52.95473,32.874,26.089,Nottingham Centre,,01/12/22
-1.260278,51.744806,12.908,11.491,Oxford St Ebbes,,01/12/22
-4.142361,50.37167,39.521,30.456,Plymouth Centre,,01/12/22
-3.770822,51.58395,22.706,16.125,Port Talbot Margam,,01/12/22
-2.680353,53.76559,30.814,24.826,Preston,,01/12/22
-0.944067,51.45309,19.123,15.25,Reading New Town,,01/12/22
0.634889,51.45617,17.859,14.776,Rochester Stoke,,01/12/22
-2.334139,53.48481,31.778,26.583,Salford Eccles,,01/12/22
-4.227678,50.411463,21.216,12.625,Saltash Callington Road,,01/12/22
-1.478096,53.378622,19.714,16.364,Sheffield Devonshire Green,,01/12/22
-1.396139,53.41058,27.77,19.499,Sheffield Tinsley,,01/12/22
-1.395757,50.908173,16.03,13.235,Southampton Centre,,01/12/22
0.678331,51.544166,17.05,13.735,Southend-on-Sea,,01/12/22
1.04901,51.777874,16.361,13.217,St Osyth,,01/12/22
0.439548,51.518167,27.98,19.625,Stanford-le-Hope Roadside,,01/12/22
-2.175133,53.02821,28.56,24.109,Stoke-on-Trent Centre,,01/12/22
-1.406878,54.88361,24.212,20.802,Sunderland Silksworth,,01/12/22
-3.947374,51.632696,27.255,20.833,Swansea Roadside,,01/12/22
-1.765678,51.558061,9.324,8.26,Swindon Walcot,,01/12/22
-2.436692,52.673471,17.671,15.175,Telford Hollinswood,,01/12/22
-2.615593,53.389225,25.282,20.583,Warrington,,01/12/22
0.290917,52.2985,19.347,16.916,Wicken Fen,,01/12/22
-2.638139,53.54914,30.288,25.225,Wigan Centre,,01/12/22
-3.022722,53.37287,19.969,17.156,Wirral Tranmere,,01/12/22
-3.002829,53.042282,14.864,12.428,Wrexham,,01/12/22
-3.71651,50.5976,8.709,6.112,Yarner Wood,,01/12/22
-1.086514,53.967513,31.402,24.478,York Bootham,,01/12/22
-1.075861,53.951889,36.001,24.764,York Fishergate,,01/12/22
